timestamp	ch1	ch2	ch3	ch4	ch5	ch6	ch7	ch8	ch9	ch10	ch11	ch12	ch13	ch14	ch15	ch16
1744400073.796000	-0.000025	-0.000006	0.000001	0.013710	0.016928	0.031293	0.029770	0.025270	0.019738	0.025488	0.034403	0.020742	0.017430	0.023017	0.019447	0.016133
1744400073.800000	-0.000035	-0.000011	-0.000005	0.013713	0.016924	0.031304	0.029763	0.025266	0.019728	0.025476	0.034394	0.020739	0.017432	0.023027	0.019446	0.016153
1744400073.804000	-0.000026	-0.000003	-0.000006	0.013713	0.016923	0.031299	0.029763	0.025259	0.019728	0.025472	0.034397	0.020742	0.017429	0.023023	0.019442	0.016153
1744400073.808000	-0.000028	0.000002	-0.000010	0.013710	0.016926	0.031284	0.029767	0.025254	0.019730	0.025470	0.034399	0.020742	0.017429	0.023013	0.019436	0.016130
1744400073.812000	-0.000027	-0.000004	-0.000002	0.013708	0.016929	0.031274	0.029765	0.025248	0.019725	0.025468	0.034400	0.020737	0.017430	0.023007	0.019429	0.016113
1744400073.816000	-0.000028	-0.000014	0.000003	0.013708	0.016927	0.031288	0.029764	0.025254	0.019727	0.025468	0.034401	0.020731	0.017433	0.023018	0.019438	0.016120
1744400073.820000	-0.000033	-0.000023	0.000005	0.013710	0.016929	0.031304	0.029766	0.025264	0.019730	0.025470	0.034394	0.020734	0.017434	0.023031	0.019449	0.016139
1744400073.824000	-0.000030	-0.000013	0.000007	0.013708	0.016935	0.031300	0.029769	0.025262	0.019735	0.025468	0.034395	0.020735	0.017429	0.023025	0.019450	0.016136
1744400073.828000	-0.000028	0.000001	-0.000003	0.013704	0.016921	0.031285	0.029769	0.025256	0.019738	0.025463	0.034397	0.020733	0.017424	0.023012	0.019445	0.016120
1744400073.832000	-0.000026	-0.000003	0.000002	0.013697	0.016926	0.031273	0.029769	0.025247	0.019733	0.025457	0.034399	0.020722	0.017423	0.023004	0.019437	0.016098
1744400073.836000	-0.000027	-0.000005	-0.000001	0.013701	0.016921	0.031282	0.029765	0.025247	0.019728	0.025451	0.034387	0.020714	0.017427	0.023011	0.019441	0.016106
1744400073.840000	-0.000031	-0.000011	-0.000003	0.013704	0.016921	0.031293	0.029766	0.025254	0.019730	0.025452	0.034381	0.020712	0.017428	0.023023	0.019450	0.016128
1744400073.844000	-0.000038	-0.000015	-0.000002	0.013701	0.016922	0.031288	0.029769	0.025254	0.019740	0.025455	0.034387	0.020712	0.017427	0.023024	0.019452	0.016127
1744400073.848000	-0.000031	-0.000013	0.000004	0.013702	0.016932	0.031279	0.029778	0.025253	0.019750	0.025461	0.034396	0.020716	0.017429	0.023018	0.019452	0.016109
1744400073.852000	-0.000026	-0.000011	0.000003	0.013694	0.016926	0.031265	0.029769	0.025241	0.019738	0.025449	0.034390	0.020714	0.017424	0.023005	0.019437	0.016094
1744400073.856000	-0.000028	-0.000013	0.000003	0.013699	0.016925	0.031279	0.029768	0.025247	0.019741	0.025452	0.034389	0.020718	0.017426	0.023014	0.019441	0.016114
1744400073.860000	-0.000031	-0.000016	0.000002	0.013702	0.016920	0.031292	0.029762	0.025254	0.019737	0.025453	0.034393	0.020725	0.017427	0.023020	0.019445	0.016142
1744400073.864000	-0.000029	-0.000013	0.000005	0.013702	0.016924	0.031290	0.029767	0.025256	0.019745	0.025462	0.034398	0.020733	0.017425	0.023018	0.019444	0.016141
1744400073.868000	-0.000025	-0.000009	0.000004	0.013698	0.016924	0.031274	0.029766	0.025247	0.019741	0.025455	0.034402	0.020737	0.017424	0.023006	0.019435	0.016125
1744400073.872000	-0.000025	-0.000007	0.000003	0.013696	0.016924	0.031265	0.029767	0.025245	0.019742	0.025457	0.034403	0.020739	0.017423	0.022999	0.019431	0.016112
1744400073.876000	-0.000027	-0.000008	0.000002	0.013702	0.016923	0.031281	0.029766	0.025254	0.019745	0.025462	0.034399	0.020742	0.017425	0.023010	0.019436	0.016133
1744400073.880000	-0.000029	-0.000010	-0.000000	0.013706	0.016921	0.031295	0.029761	0.025260	0.019737	0.025462	0.034392	0.020741	0.017425	0.023019	0.019441	0.016144
1744400073.884000	-0.000032	-0.000009	0.000006	0.013706	0.016929	0.031290	0.029763	0.025258	0.019737	0.025466	0.034394	0.020743	0.017426	0.023018	0.019441	0.016143
1744400073.888000	-0.000028	-0.000009	-0.000002	0.013703	0.016919	0.031280	0.029765	0.025257	0.019744	0.025476	0.034399	0.020745	0.017425	0.023010	0.019440	0.016123
1744400073.892000	-0.000027	-0.000017	0.000004	0.013695	0.016926	0.031270	0.029769	0.025252	0.019738	0.025477	0.034400	0.020737	0.017422	0.023004	0.019436	0.016101
1744400073.896000	-0.000029	-0.000023	-0.000007	0.013700	0.016922	0.031282	0.029767	0.025257	0.019733	0.025479	0.034395	0.020738	0.017426	0.023014	0.019441	0.016119
1744400073.900000	-0.000030	-0.000017	-0.000006	0.013703	0.016916	0.031291	0.029758	0.025254	0.019724	0.025476	0.034386	0.020738	0.017427	0.023019	0.019439	0.016145
1744400073.904000	-0.000030	-0.000010	-0.000002	0.013705	0.016914	0.031286	0.029758	0.025252	0.019723	0.025475	0.034386	0.020739	0.017425	0.023017	0.019438	0.016142
1744400073.908000	-0.000027	-0.000007	0.000005	0.013700	0.016919	0.031271	0.029763	0.025246	0.019726	0.025472	0.034392	0.020734	0.017423	0.023008	0.019432	0.016123
1744400073.912000	-0.000029	-0.000007	0.000001	0.013693	0.016914	0.031258	0.029760	0.025236	0.019725	0.025465	0.034392	0.020728	0.017421	0.022998	0.019426	0.016101
1744400073.916000	-0.000025	-0.000008	0.000002	0.013697	0.016915	0.031271	0.029759	0.025241	0.019728	0.025463	0.034393	0.020727	0.017423	0.023009	0.019431	0.016118
1744400073.920000	-0.000027	-0.000008	-0.000001	0.013699	0.016911	0.031281	0.029756	0.025243	0.019729	0.025461	0.034390	0.020725	0.017421	0.023014	0.019433	0.016137
1744400073.924000	-0.000023	-0.000008	0.000007	0.013697	0.016917	0.031278	0.029760	0.025242	0.019739	0.025462	0.034397	0.020724	0.017421	0.023013	0.019435	0.016135
1744400073.928000	-0.000024	-0.000012	0.000007	0.013691	0.016917	0.031262	0.029761	0.025235	0.019737	0.025454	0.034400	0.020723	0.017418	0.023002	0.019429	0.016112
1744400073.932000	-0.000023	-0.000011	0.000010	0.013693	0.016925	0.031261	0.029766	0.025237	0.019736	0.025450	0.034404	0.020723	0.017420	0.023004	0.019431	0.016102
1744400073.936000	-0.000027	-0.000012	0.000006	0.013699	0.016924	0.031277	0.029768	0.025244	0.019736	0.025449	0.034400	0.020725	0.017422	0.023015	0.019438	0.016117
1744400073.940000	-0.000032	-0.000023	0.000011	0.013696	0.016933	0.031288	0.029769	0.025248	0.019736	0.025444	0.034395	0.020711	0.017423	0.023025	0.019446	0.016118
1744400073.944000	-0.000033	-0.000024	0.000008	0.013701	0.016927	0.031293	0.029774	0.025253	0.019738	0.025446	0.034401	0.020718	0.017427	0.023032	0.019453	0.016122
1744400073.948000	-0.000027	-0.000020	0.000010	0.013696	0.016929	0.031276	0.029773	0.025245	0.019735	0.025439	0.034404	0.020718	0.017422	0.023018	0.019445	0.016103
1744400073.952000	-0.000021	-0.000001	0.000009	0.013695	0.016926	0.031262	0.029769	0.025235	0.019734	0.025433	0.034402	0.020719	0.017420	0.023004	0.019434	0.016096
1744400073.956000	-0.000026	-0.000003	0.000004	0.013699	0.016920	0.031275	0.029766	0.025243	0.019737	0.025437	0.034393	0.020720	0.017423	0.023015	0.019442	0.016110
1744400073.960000	-0.000032	-0.000005	-0.000003	0.013705	0.016914	0.031290	0.029764	0.025251	0.019742	0.025445	0.034383	0.020727	0.017423	0.023025	0.019450	0.016137
1744400073.964000	-0.000036	-0.000010	-0.000000	0.013704	0.016919	0.031291	0.029769	0.025256	0.019753	0.025458	0.034392	0.020738	0.017422	0.023026	0.019455	0.016145
1744400073.968000	-0.000033	-0.000005	0.000008	0.013702	0.016927	0.031281	0.029776	0.025257	0.019763	0.025471	0.034407	0.020742	0.017423	0.023017	0.019453	0.016123
1744400073.972000	-0.000019	-0.000003	0.000009	0.013693	0.016922	0.031263	0.029768	0.025244	0.019756	0.025462	0.034408	0.020735	0.017417	0.022999	0.019438	0.016106
1744400073.976000	-0.000023	-0.000011	0.000008	0.013697	0.016922	0.031278	0.029771	0.025253	0.019760	0.025472	0.034405	0.020734	0.017420	0.023011	0.019447	0.016118
1744400073.980000	-0.000031	-0.000018	0.000002	0.013701	0.016915	0.031290	0.029767	0.025259	0.019756	0.025479	0.034397	0.020738	0.017420	0.023017	0.019452	0.016139
1744400073.984000	-0.000029	-0.000011	0.000002	0.013701	0.016913	0.031286	0.029764	0.025260	0.019757	0.025487	0.034393	0.020743	0.017420	0.023013	0.019448	0.016141
